"gene_symbol","log2FoldChange","padj","baseMean","regulation","ensembl_id"
"KERA",6.52420964876494,8.2212323395183e-08,60.7142857142857,"Up-regulated","ENSG00000139330"
"GALNT13",6.00805908144706,3.26568324272741e-06,29.3714285714286,"Up-regulated","ENSG00000144278"
"GYG2",5.89149547825243,2.5211155210864e-08,728.428571428572,"Up-regulated","ENSG00000056998"
"LGALS12",5.67656791730851,3.23343334599867e-08,445.828571428572,"Up-regulated","ENSG00000133317"
"LGALS7",5.52113800224553,0.00012611446832283,30,"Up-regulated","ENSG00000205076"
"PRG4",5.29282940667888,2.46853627386704e-12,1976.51428571429,"Up-regulated","ENSG00000116690"
"COL1A1",5.14592509417014,2.33656698106805e-08,61727.8,"Up-regulated","ENSG00000108821"
"HAS1",4.97619311515855,9.25314334950452e-05,29.8285714285714,"Up-regulated","ENSG00000105509"
"SDC1",4.77423269497003,9.05867201300398e-06,118.514285714286,"Up-regulated","ENSG00000115884"
"KLB",4.33440471640324,1.27457933458792e-05,214.2,"Up-regulated","ENSG00000134962"
"CHI3L2",4.17315574235607,1.62547893594474e-06,151.2,"Up-regulated","ENSG00000064886"
"IFNG",4.11708713037901,0.00847810541678851,4.34285714285714,"Up-regulated","ENSG00000111537"
"TNC",4.09127474818414,7.89438152139562e-16,2494.51428571429,"Up-regulated","ENSG00000041982"
"ADAMTS2",4.07539451945587,4.24639949883792e-10,1589.8,"Up-regulated","ENSG00000087116"
"COL10A1",4.04689613861451,7.84276764902135e-05,31.4571428571429,"Up-regulated","ENSG00000123500"
"SCD",3.97567583221964,2.08655781855048e-07,11948.2571428571,"Up-regulated","ENSG00000099194"
"ITLN1",3.8752665260886,0.0378820247722197,76.5142857142857,"Up-regulated","ENSG00000179914"
"CHST13",3.87412115217488,0.000289925094211765,11.5714285714286,"Up-regulated","ENSG00000180767"
"COL19A1",3.86107787334399,1.46733221049305e-06,67.5428571428571,"Up-regulated","ENSG00000082293"
"CLEC4G",3.75610236330355,8.4772570873847e-06,29.8571428571429,"Up-regulated","ENSG00000182566"
"CHI3L1",3.73270507730436,9.98488249703418e-06,277.571428571429,"Up-regulated","ENSG00000133048"
"CRYBG2",3.63434180754494,0.00102703590528666,7.82857142857143,"Up-regulated","ENSG00000176092"
"CSTA",3.56995568383601,1.90424259514455e-05,105.971428571429,"Up-regulated","ENSG00000121552"
"FGFR2",3.52613371078549,0.000159487355061489,39.2285714285714,"Up-regulated","ENSG00000066468"
"HS3ST4",3.48398553093497,0.0302782081883909,2.77142857142857,"Up-regulated","ENSG00000182601"
"THBS1",3.48065341368985,1.49793696186925e-13,1443.97142857143,"Up-regulated","ENSG00000137801"
"COL14A1",3.45156766801673,9.11549762019446e-09,4485.62857142857,"Up-regulated","ENSG00000187955"
"CLC",3.41667198484431,0.00857443532201815,49.6857142857143,"Up-regulated","ENSG00000105205"
"B3GNT3",3.41087255084297,0.0422813029096174,2.54285714285714,"Up-regulated","ENSG00000179913"
"CHIT1",3.39587235715455,0.00027304516727199,24.9714285714286,"Up-regulated","ENSG00000133063"
"GALNT8",3.37560575994166,2.04332935809867e-07,60.1714285714286,"Up-regulated","ENSG00000130035"
"THBS2",3.36257021270782,1.11416686649749e-07,1339.17142857143,"Up-regulated","ENSG00000186340"
"OLR1",3.35700628847515,0.0142241839759156,3.57142857142857,"Up-regulated","ENSG00000173391"
"B4GALNT4",3.34567824229331,0.000537873401088856,18.2857142857143,"Up-regulated","ENSG00000182272"
"TIMP1",3.31470309773854,1.11206132089108e-08,2835.85714285714,"Up-regulated","ENSG00000102265"
"ASGR1",3.26972147415089,9.00586636726023e-06,39.2571428571429,"Up-regulated","ENSG00000141505"
"FGF17",3.2681725038009,0.000131407206773202,8.62857142857143,"Up-regulated","ENSG00000158815"
"DPP4",3.24805608933227,2.28191076532233e-07,762.028571428572,"Up-regulated","ENSG00000197635"
"ACER1",3.24585654590127,0.0489494775379625,2.31428571428571,"Up-regulated","ENSG00000167769"
"ASGR2",3.23956937244281,0.000114496862581214,30.7428571428572,"Up-regulated","ENSG00000161944"
"CTSK",3.21455280463291,1.43002543125736e-06,2686.74285714286,"Up-regulated","ENSG00000143387"
"FCN2",3.21092367629185,0.0156063636906716,14.8857142857143,"Up-regulated","ENSG00000160339"
"FCER2",3.14055285809358,6.3015246343577e-05,60.6571428571429,"Up-regulated","ENSG00000104921"
"MGAT4C",3.09228807530111,0.00854647363824042,6,"Up-regulated","ENSG00000182050"
"GPC3",3.07748988430694,1.78813040620303e-06,942.571428571428,"Up-regulated","ENSG00000147257"
"CD248",3.05202746839994,2.69241589146579e-07,4308.34285714286,"Up-regulated","ENSG00000174807"
"CLEC4D",2.99638684656634,0.0203351515430205,11.6285714285714,"Up-regulated","ENSG00000166527"
"FUT7",2.99336636737564,0.00144524848188799,32,"Up-regulated","ENSG00000180549"
"CD209",2.94285744143873,5.26136772660196e-09,307.028571428571,"Up-regulated","ENSG00000090659"
"PPBP",2.93611721050554,0.00365501649617966,171.685714285714,"Up-regulated","ENSG00000163736"
"GXYLT2",2.9141896371326,1.26108946822347e-07,162.2,"Up-regulated","ENSG00000172986"
"LUM",2.89061034402976,2.14537918776144e-06,8668.22857142857,"Up-regulated","ENSG00000139329"
"BGN",2.80855066432594,1.52684921796482e-06,4575.4,"Up-regulated","ENSG00000182492"
"ELOVL3",2.78619705007079,0.000570901732951223,19.5428571428571,"Up-regulated","ENSG00000119915"
"FGF18",2.7825212471241,3.32541957680551e-09,93.6285714285715,"Up-regulated","ENSG00000156427"
"S100A8",2.77447745032685,0.00131504194361404,1318.94285714286,"Up-regulated","ENSG00000143546"
"S100A9",2.74230481857366,0.00335252009161825,3329.91428571428,"Up-regulated","ENSG00000163220"
"MGAM2",2.74032990089919,0.0493568034090084,3.51428571428572,"Up-regulated","ENSG00000257743"
"DEGS2",2.70152396629235,2.92580038918955e-05,22.4285714285714,"Up-regulated","ENSG00000168350"
"ICAM3",2.66098194857497,0.000725321324858242,80.6285714285715,"Up-regulated","ENSG00000076662"
"GALNT6",2.65520775801348,1.60995821044431e-09,66.2285714285714,"Up-regulated","ENSG00000139629"
"GFPT2",2.6153840775349,4.16275695611448e-06,868.8,"Up-regulated","ENSG00000131459"
"HK3",2.60466742967097,4.03638442617366e-05,274.771428571428,"Up-regulated","ENSG00000160883"
"SPHK1",2.59790158321547,3.51998495129224e-06,434.085714285714,"Up-regulated","ENSG00000176170"
"SELL",2.5865522318606,0.00186215486161875,840.914285714286,"Up-regulated","ENSG00000188404"
"SIGLEC8",2.5814080117721,0.000790520640623409,19.6285714285714,"Up-regulated","ENSG00000105366"
"ST6GAL2",2.54284071959291,0.0116411929838844,8.4,"Up-regulated","ENSG00000144057"
"SIGLEC1",2.53347384019911,1.29616255939386e-07,1109.17142857143,"Up-regulated","ENSG00000088827"
"PLAUR",2.53302028777064,6.95282822919447e-07,206.4,"Up-regulated","ENSG00000011422"
"AOAH",2.52222851882391,8.96642188940564e-05,163.857142857143,"Up-regulated","ENSG00000136250"
"GALNTL6",2.5104185191338,0.00138551460501207,27.3428571428571,"Up-regulated","ENSG00000174473"
"FMOD",2.48836874486397,4.80822261572793e-06,3064.37142857143,"Up-regulated","ENSG00000122176"
"SIGLEC6",2.4783320887395,0.00153798216212654,13.4,"Up-regulated","ENSG00000105492"
"TNR",2.47802664547904,0.03085626514917,6.74285714285714,"Up-regulated","ENSG00000116147"
"HPSE2",2.47180367468856,7.92042370249794e-05,49.4,"Up-regulated","ENSG00000172987"
"VCAN",2.46439991930684,2.89402061066659e-07,2457.91428571429,"Up-regulated","ENSG00000038427"
"SELPLG",2.45657748920003,5.62275743909006e-05,562.514285714286,"Up-regulated","ENSG00000110876"
"LYZ",2.42592527789545,0.00101726457401624,2103.68571428571,"Up-regulated","ENSG00000090382"
"CST7",2.42255099783147,0.000449195368925048,107.514285714286,"Up-regulated","ENSG00000077984"
"CLEC5A",2.39317689593933,0.00666369880694615,13.7714285714286,"Up-regulated","ENSG00000258227"
"FBP1",2.38987616830402,5.42008702461342e-05,79.4,"Up-regulated","ENSG00000165140"
"ITGB2",2.38605682532048,0.000123598362796646,1516.82857142857,"Up-regulated","ENSG00000160255"
"CLEC10A",2.38278118653192,8.10687996128146e-07,308.057142857143,"Up-regulated","ENSG00000132514"
"MDK",2.34957135860082,0.000136401847951168,600.285714285714,"Up-regulated","ENSG00000110492"
"MRC1",2.34543516763088,3.19342924948452e-06,911.685714285714,"Up-regulated","ENSG00000260314"
