"","gene","log2FoldChange","padj","correlation"
"569","ENSG00000116721.9",7.49440685023893,4.63315702664343e-06,0.946269607706063
"1212","ENSG00000144010.8",6.4582124518694,6.94831591001972e-05,0.934755930080567
"772","ENSG00000237247.5",7.59155485511881,1.23129575945632e-05,0.931164684238472
"567","ENSG00000274764.5",7.59591973492067,4.54806201666503e-06,0.931096613687958
"1100","ENSG00000144015.4",6.64349806724992,4.9636441910371e-05,0.930992589389626
"609","ENSG00000230522.4",7.9950730071899,5.93146484170331e-06,0.930281226283786
"748","ENSG00000205718.8",7.66978034567778,1.10946029307138e-05,0.929397768329101
"691","ENSG00000182315.8",7.78700694728312,8.4772570873847e-06,0.92821982438952
"805","ENSG00000120952.4",7.54137831322714,1.42928089355817e-05,0.920415945789799
"244","ENSG00000270601.4",8.42690782671222,3.91916533962211e-07,0.917676153098605
"474","ENSG00000256980.4",6.95798990330229,2.75045209518374e-06,0.917608782377058
"232","ENSG00000133101.9",6.05141310731288,3.23457128181871e-07,0.910357258208805
"1571","ENSG00000116726.4",6.75954604809129,0.000163182492211507,0.910235651884082
"322","ENSG00000204505.4",7.97206832881359,9.06145058396898e-07,0.906965106516697
"246","ENSG00000243073.3",8.0946752814669,3.95575220781046e-07,0.904304810072597
"279","ENSG00000180532.10",5.40291346290365,6.65784544339424e-07,0.902425441532299
"328","ENSG00000232423.5",7.78420708752741,9.56667363497883e-07,0.898858598183748
"659","ENSG00000229978.1",6.87480496555572,7.69362386607788e-06,0.896253765658596
"662","ENSG00000277862.1",6.86927073754599,7.7191763526722e-06,0.895678691057596
"404","ENSG00000157765.11",6.87945416673769,1.76291871233764e-06,0.893139214847003
"1239","ENSG00000277058.2",6.24853437108146,7.78163918438421e-05,0.891114590292731
"1843","ENSG00000204510.5",6.8523223478259,0.000277290863983133,0.890114240614393
"300","ENSG00000204501.6",8.32772321404869,8.05906657823625e-07,0.889662668484671
"1070","ENSG00000257951.1",6.32067135815233,4.6078862218739e-05,0.887036573366153
"863","ENSG00000182330.10",6.48487941643302,1.92654932922998e-05,0.886744785019651
"2671","ENSG00000213921.6",5.71242316532178,0.000987885575316268,0.884926219656917
"1231","ENSG00000179412.10",5.83995016543668,7.57779175998972e-05,0.884635898625038
"1860","ENSG00000225581.3",5.9222066941536,0.000282493603313706,0.884275537586226
"1631","ENSG00000179172.8",6.10593920620853,0.000183258962200719,0.884046926655247
"1842","ENSG00000204481.7",6.140007543265,0.00027628214083919,0.881691038776086
"3545","ENSG00000166013.11",5.21718805755294,0.00249362283833948,0.877544301923994
"1281","ENSG00000269466.2",5.35123006360998,8.70196426234238e-05,0.87653219289208
"28","ENSG00000198336.9",4.77044636409404,1.34128124956715e-09,0.876190476190476
"366","ENSG00000229571.6",8.16199817823327,1.28572784951724e-06,0.873818759661874
"367","ENSG00000280267.3",8.16150456945906,1.2858928585139e-06,0.873818759661874
"363","ENSG00000239810.3",8.07037390290969,1.27484476999691e-06,0.873529271916417
"2002","ENSG00000237706.4",4.85005084979605,0.000361368531647305,0.871280002655043
"1734","ENSG00000275774.2",5.97065122718798,0.000212441110157157,0.870881933011544
"2235","ENSG00000223638.3",4.97840891856267,0.000527944588476429,0.868733655440699
"3603","ENSG00000268799.2",4.36417445819112,0.00263292765100195,0.868203212096607
"2264","ENSG00000110195.11",5.18466525189137,0.000556111439247469,0.864036312895595
"1654","ENSG00000124900.12",5.0812973677174,0.000190204700926063,0.858721131954264
"1187","ENSG00000168930.13",6.56876754741536,6.47647319087678e-05,0.858381235408507
"4584","ENSG00000237700.1",4.76371289432643,0.00565985440666064,0.857464983821142
"4469","ENSG00000186223.4",4.678305335951,0.00522510248216853,0.853985782485092
"2603","ENSG00000279804.1",4.78208137504387,0.000912466611738969,0.851506225324333
"2310","ENSG00000204455.7",4.6035737537409,0.000589608716551239,0.848054350316203
"5822","ENSG00000236175.3",4.14396907608525,0.0115413072783002,0.847659961874091
"5748","ENSG00000229542.3",4.43680008956856,0.0110848373208667,0.846321705116987
"550","ENSG00000251258.1",5.90972422606295,4.0753600775943e-06,0.838820333037887
"7267","ENSG00000237565.3",3.92251495026674,0.0221359399480763,0.832108668847847
"2028","ENSG00000157851.16",2.9579229480994,0.000375879804278402,0.831010577008127
"1423","ENSG00000223417.8",4.99641926830815,0.000118986546296554,0.830721422491262
"1278","ENSG00000204449.3",6.53179728984303,8.66755598832637e-05,0.830701119287498
"4516","ENSG00000187545.5",4.63455293682941,0.00541233100005415,0.829405119279923
"7286","ENSG00000254764.1",3.64786840444708,0.0223199657848812,0.828998791071639
"7369","ENSG00000186232.3",3.57488059968446,0.023102191497383,0.826468462827239
"4069","ENSG00000176797.3",5.58735881367334,0.00393385543587021,0.820458933246788
"4070","ENSG00000177243.3",5.58735881367334,0.00393385543587021,0.820458933246788
"1731","ENSG00000233802.8",4.9454440641143,0.000211433067453226,0.818671038008523
"1698","ENSG00000204479.4",5.65764140200338,0.00020047977124548,0.814331158140664
"3564","ENSG00000182053.12",5.5926165009992,0.0025384569220553,0.811239563503856
"1001","ENSG00000133055.8",3.38855728675495,3.44210676619086e-05,0.808683473389356
"4208","ENSG00000196946.9",3.29390077474973,0.00437394819182489,0.80002872892465
"681","ENSG00000187616.4",5.30083843645281,8.3343330420941e-06,0.795871921131747
"2712","ENSG00000204478.9",4.44043192920077,0.00104907316303266,0.789032127277376
"3309","ENSG00000229292.1",4.45714588897917,0.00198737305086229,0.78813922030573
"5045","ENSG00000250386.1",4.185794485261,0.00749171405325923,0.782671509975682
"6878","ENSG00000150244.11",4.0676940993268,0.0187116243482006,0.782363041905856
"211","ENSG00000168389.17",4.72880070243915,2.76950297691057e-07,0.773511051875985
"2626","ENSG00000205758.11",-0.341975838750687,0.000939159962881715,-0.769467787114846
"94","ENSG00000187908.15",7.78687038442204,4.05206794775563e-08,0.76906158686841
"155","ENSG00000062524.15",4.49270894269023,1.1943801031304e-07,0.768627450980392
"4017","ENSG00000276623.1",4.57684657877408,0.00375672862134152,0.768498906675317
"1271","ENSG00000103319.11",-0.673335905089127,8.45651773166778e-05,-0.765826330532213
"5415","ENSG00000279169.1",4.61540361338713,0.00939369301399753,0.765727328999931
"6587","ENSG00000249357.3",4.09555161816921,0.0166343819108188,0.762174069932646
"2094","ENSG00000265190.6",2.6980592544874,0.000402506967771218,0.76071731761639
