"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000105664.10",2690.59048516912,10.1423034815299,1.02506692136062,9.89428423665021,4.40751935434888e-23,1.14353089648582e-18,"ENSG00000105664.10"
"ENSG00000124762.13",1264.1515375168,4.08908675873129,0.443313112509937,9.22392467838322,2.86420257872458e-20,3.71558679525046e-16,"ENSG00000124762.13"
"ENSG00000041982.15",1991.7506047228,4.09127474818414,0.449646795768428,9.09886334493348,9.12821143348887e-20,7.89438152139562e-16,"ENSG00000041982.15"
"ENSG00000082397.16",1040.30413324427,2.06421429820155,0.232820802742635,8.86610764109156,7.57472522631782e-19,4.9131561499204e-15,"ENSG00000082397.16"
"ENSG00000137801.10",1127.87001691645,3.48065341368985,0.41290124408522,8.4297479446961,3.46410551983639e-17,1.49793696186925e-13,"ENSG00000137801.10"
"ENSG00000159216.18",625.281165960752,3.06327837380717,0.363171211815811,8.43480505652185,3.31755327680686e-17,1.49793696186925e-13,"ENSG00000159216.18"
"ENSG00000145423.4",3486.84435984298,7.10690775828026,0.860171357327738,8.26219996485239,1.43011862668471e-16,5.30063253847639e-13,"ENSG00000145423.4"
"ENSG00000188257.10",1870.02603506498,7.43405266840876,0.904763882098134,8.21656657112495,2.09412242780861e-16,6.7915007986868e-13,"ENSG00000188257.10"
"ENSG00000116690.12",1495.55994397684,5.29282940667888,0.657831319859792,8.0458762708455,8.56304739441255e-16,2.46853627386704e-12,"ENSG00000116690.12"
"ENSG00000149573.8",217.388613309445,2.29862569897906,0.289942410180484,7.92786987439406,2.22936727415949e-15,5.7840933928068e-12,"ENSG00000149573.8"
"ENSG00000000005.5",498.871243458245,6.56039901492324,0.847093725220753,7.74459640013694,9.58859260924491e-15,2.26160032042599e-11,"ENSG00000000005.5"
"ENSG00000148848.14",215.820411309979,5.59804997670483,0.728949972285297,7.6796079148678,1.59576240346401e-14,3.3423246609949e-11,"ENSG00000148848.14"
"ENSG00000262655.3",378.30726873036,5.29458467303916,0.689990243897168,7.67341961697105,1.67470497563822e-14,3.3423246609949e-11,"ENSG00000262655.3"
"ENSG00000105609.16",824.554227486908,3.25052146476076,0.425902715146283,7.63207500014251,2.31004972452202e-14,4.28101715019455e-11,"ENSG00000105609.16"
"ENSG00000169991.10",360.982464618434,1.26013902308644,0.168947836168249,7.4587461530523,8.73497091930288e-14,1.51085880334209e-10,"ENSG00000169991.10"
"ENSG00000279821.1",56.3186633098488,2.38522597217618,0.320743858387428,7.43654448807886,1.03353170266984e-13,1.67593625161057e-10,"ENSG00000279821.1"
"ENSG00000171812.11",293.34048433129,4.12176194861828,0.554927617262991,7.42756680402321,1.10613522029043e-13,1.68815754649619e-10,"ENSG00000171812.11"
"ENSG00000118523.5",3584.46564974339,3.00327231489867,0.408077297777603,7.35956724682933,1.84507391858087e-13,2.65946904542114e-10,"ENSG00000118523.5"
"ENSG00000124491.15",2308.96203094413,3.49819734137884,0.478819958953976,7.30587202133544,2.75474276588295e-13,3.76167374004385e-10,"ENSG00000124491.15"
"ENSG00000133083.14",1000.42108006639,2.88414554726411,0.395854696141251,7.28586922266795,3.196028927193e-13,4.14604852580112e-10,"ENSG00000133083.14"
"ENSG00000087116.13",1090.73511621284,4.07539451945587,0.560109916499691,7.2760620717525,3.43705490366531e-13,4.24639949883792e-10,"ENSG00000087116.13"
"ENSG00000129474.15",168.83330302611,1.48729918051666,0.204993881309674,7.2553345056669,4.00670395913749e-13,4.68213318247221e-10,"ENSG00000129474.15"
"ENSG00000166928.10",96.7379858073476,2.87805323431673,0.396942463351025,7.25055518127221,4.15066730379113e-13,4.68213318247221e-10,"ENSG00000166928.10"
"ENSG00000149090.11",443.992206046446,3.03754627284017,0.420219427734306,7.22847653478967,4.8844220270811e-13,5.28026372885913e-10,"ENSG00000149090.11"
"ENSG00000013588.5",85.0600266146995,4.02731473944526,0.561772478129064,7.16894275927845,7.55791467385893e-13,7.84360384853079e-10,"ENSG00000013588.5"
"ENSG00000072110.13",3110.53487133895,1.99219676702487,0.278754898398458,7.14676864324436,8.88444274172248e-13,8.86564872823038e-10,"ENSG00000072110.13"
"ENSG00000138207.12",1272.82724894994,5.95471440269959,0.835958161660021,7.12322060577158,1.05433858584746e-12,1.01314128184491e-09,"ENSG00000138207.12"
"ENSG00000198336.9",263.286522532474,4.77044636409404,0.673846409158608,7.07942685344367,1.44751878928041e-12,1.34128124956715e-09,"ENSG00000198336.9"
"ENSG00000181374.7",115.112439809277,4.72301796267902,0.66973215147092,7.05209978691622,1.76237736511325e-12,1.57672002544356e-09,"ENSG00000181374.7"
"ENSG00000139629.15",52.6618326151774,2.65520775801348,0.376920447465089,7.04447788882403,1.86158205100518e-12,1.60995821044431e-09,"ENSG00000139629.15"
"ENSG00000019991.15",182.902018409774,2.46131393295938,0.349738918447658,7.03757518289387,1.95613995227499e-12,1.6371629374766e-09,"ENSG00000019991.15"
"ENSG00000185567.6",774.295307053029,3.31767775927913,0.472242013467362,7.02537610942238,2.1349037268129e-12,1.73093991225502e-09,"ENSG00000185567.6"
