"","gene_id"
"1","ENSG00000000003"
"2","ENSG00000000005"
"3","ENSG00000000419"
"4","ENSG00000000457"
"5","ENSG00000000460"
"6","ENSG00000000938"
"7","ENSG00000000971"
"8","ENSG00000001036"
"9","ENSG00000001084"
"10","ENSG00000001167"
"11","ENSG00000001460"
"12","ENSG00000001461"
"13","ENSG00000001497"
"14","ENSG00000001561"
"15","ENSG00000001617"
"16","ENSG00000001626"
"17","ENSG00000001629"
"18","ENSG00000001630"
"19","ENSG00000001631"
"20","ENSG00000002016"
"21","ENSG00000002079"
"22","ENSG00000002330"
"23","ENSG00000002549"
"24","ENSG00000002586"
"25","ENSG00000002587"
"26","ENSG00000002726"
"27","ENSG00000002745"
"28","ENSG00000002746"
"29","ENSG00000002822"
"30","ENSG00000002834"
"31","ENSG00000002919"
"32","ENSG00000002933"
"33","ENSG00000003056"
"34","ENSG00000003096"
"35","ENSG00000003137"
"36","ENSG00000003147"
"37","ENSG00000003249"
"38","ENSG00000003393"
"39","ENSG00000003400"
"40","ENSG00000003402"
"41","ENSG00000003436"
"42","ENSG00000003509"
"43","ENSG00000003756"
"44","ENSG00000003987"
"45","ENSG00000003989"
"46","ENSG00000004059"
"47","ENSG00000004139"
"48","ENSG00000004142"
"49","ENSG00000004399"
"50","ENSG00000004455"
"51","ENSG00000004468"
"52","ENSG00000004478"
"53","ENSG00000004487"
"54","ENSG00000004534"
"55","ENSG00000004660"
"56","ENSG00000004700"
"57","ENSG00000004766"
"58","ENSG00000004776"
"59","ENSG00000004777"
"60","ENSG00000004779"
"61","ENSG00000004799"
"62","ENSG00000004809"
"63","ENSG00000004838"
"64","ENSG00000004846"
"65","ENSG00000004848"
"66","ENSG00000004864"
"67","ENSG00000004866"
"68","ENSG00000004897"
"69","ENSG00000004939"
"70","ENSG00000004948"
"71","ENSG00000004961"
"72","ENSG00000004975"
"73","ENSG00000005001"
"74","ENSG00000005007"
"75","ENSG00000005020"
"76","ENSG00000005022"
"77","ENSG00000005059"
"78","ENSG00000005073"
"79","ENSG00000005075"
"80","ENSG00000005100"
"81","ENSG00000005102"
"82","ENSG00000005108"
"83","ENSG00000005156"
"84","ENSG00000005175"
"85","ENSG00000005187"
"86","ENSG00000005189"
"87","ENSG00000005194"
"88","ENSG00000005206"
"89","ENSG00000005238"
"90","ENSG00000005243"
"91","ENSG00000005249"
"92","ENSG00000005302"
"93","ENSG00000005339"
"94","ENSG00000005379"
"95","ENSG00000005381"
"96","ENSG00000005421"
"97","ENSG00000005436"
"98","ENSG00000005448"
"99","ENSG00000005469"
"100","ENSG00000005471"
"101","ENSG00000005483"
"102","ENSG00000005486"
"103","ENSG00000005513"
"104","ENSG00000005700"
"105","ENSG00000005801"
"106","ENSG00000005810"
"107","ENSG00000005812"
"108","ENSG00000005844"
"109","ENSG00000005882"
"110","ENSG00000005884"
"111","ENSG00000005889"
"112","ENSG00000005893"
"113","ENSG00000005961"
"114","ENSG00000005981"
"115","ENSG00000006007"
"116","ENSG00000006015"
"117","ENSG00000006016"
"118","ENSG00000006025"
"119","ENSG00000006042"
"120","ENSG00000006047"
"121","ENSG00000006062"
"122","ENSG00000006071"
"123","ENSG00000006118"
"124","ENSG00000006125"
"125","ENSG00000006128"
"126","ENSG00000006194"
"127","ENSG00000006210"
"128","ENSG00000006282"
"129","ENSG00000006283"
"130","ENSG00000006327"
"131","ENSG00000006377"
"132","ENSG00000006432"
"133","ENSG00000006451"
"134","ENSG00000006453"
"135","ENSG00000006459"
"136","ENSG00000006468"
"137","ENSG00000006530"
"138","ENSG00000006534"
"139","ENSG00000006555"
"140","ENSG00000006576"
"141","ENSG00000006606"
"142","ENSG00000006607"
"143","ENSG00000006611"
"144","ENSG00000006625"
"145","ENSG00000006634"
"146","ENSG00000006638"
"147","ENSG00000006652"
"148","ENSG00000006659"
"149","ENSG00000006695"
"150","ENSG00000006704"
"151","ENSG00000006712"
"152","ENSG00000006715"
"153","ENSG00000006740"
"154","ENSG00000006744"
"155","ENSG00000006747"
"156","ENSG00000006756"
"157","ENSG00000006757"
"158","ENSG00000006788"
"159","ENSG00000006831"
"160","ENSG00000006837"
"161","ENSG00000007001"
"162","ENSG00000007038"
"163","ENSG00000007047"
"164","ENSG00000007062"
"165","ENSG00000007080"
"166","ENSG00000007129"
"167","ENSG00000007168"
"168","ENSG00000007171"
"169","ENSG00000007174"
"170","ENSG00000007202"
"171","ENSG00000007237"
"172","ENSG00000007255"
"173","ENSG00000007264"
"174","ENSG00000007312"
"175","ENSG00000007314"
"176","ENSG00000007341"
"177","ENSG00000007350"
"178","ENSG00000007372"
"179","ENSG00000007376"
"180","ENSG00000007384"
"181","ENSG00000007392"
"182","ENSG00000007402"
"183","ENSG00000007516"
"184","ENSG00000007520"
"185","ENSG00000007541"
"186","ENSG00000007545"
"187","ENSG00000007866"
"188","ENSG00000007908"
"189","ENSG00000007923"
"190","ENSG00000007933"
"191","ENSG00000007944"
"192","ENSG00000007952"
"193","ENSG00000007968"
"194","ENSG00000008018"
"195","ENSG00000008056"
"196","ENSG00000008083"
"197","ENSG00000008086"
"198","ENSG00000008118"
"199","ENSG00000008128"
"200","ENSG00000008130"
"201","ENSG00000008196"
"202","ENSG00000008226"
"203","ENSG00000008256"
"204","ENSG00000008277"
"205","ENSG00000008282"
"206","ENSG00000008283"
"207","ENSG00000008294"
"208","ENSG00000008300"
"209","ENSG00000008311"
"210","ENSG00000008323"
"211","ENSG00000008324"
"212","ENSG00000008382"
"213","ENSG00000008394"
"214","ENSG00000008405"
"215","ENSG00000008438"
"216","ENSG00000008441"
"217","ENSG00000008513"
"218","ENSG00000008516"
"219","ENSG00000008517"
"220","ENSG00000008710"
"221","ENSG00000008735"
"222","ENSG00000008838"
"223","ENSG00000008853"
"224","ENSG00000008869"
"225","ENSG00000008952"
"226","ENSG00000008988"
"227","ENSG00000009307"
"228","ENSG00000009335"
"229","ENSG00000009413"
"230","ENSG00000009694"
"231","ENSG00000009709"
"232","ENSG00000009724"
"233","ENSG00000009765"
"234","ENSG00000009780"
"235","ENSG00000009790"
"236","ENSG00000009830"
"237","ENSG00000009844"
"238","ENSG00000009950"
"239","ENSG00000009954"
"240","ENSG00000010017"
"241","ENSG00000010030"
"242","ENSG00000010072"
"243","ENSG00000010165"
"244","ENSG00000010219"
"245","ENSG00000010244"
"246","ENSG00000010256"
"247","ENSG00000010270"
"248","ENSG00000010278"
"249","ENSG00000010282"
"250","ENSG00000010292"
"251","ENSG00000010295"
"252","ENSG00000010310"
"253","ENSG00000010318"
"254","ENSG00000010319"
"255","ENSG00000010322"
"256","ENSG00000010327"
"257","ENSG00000010361"
"258","ENSG00000010379"
"259","ENSG00000010404"
"260","ENSG00000010438"
"261","ENSG00000010539"
"262","ENSG00000010610"
"263","ENSG00000010626"
"264","ENSG00000010671"
"265","ENSG00000010704"
"266","ENSG00000010803"
"267","ENSG00000010810"
"268","ENSG00000010818"
"269","ENSG00000010932"
"270","ENSG00000011007"
"271","ENSG00000011009"
"272","ENSG00000011021"
"273","ENSG00000011028"
"274","ENSG00000011052"
"275","ENSG00000011083"
"276","ENSG00000011105"
"277","ENSG00000011114"
"278","ENSG00000011132"
"279","ENSG00000011143"
"280","ENSG00000011198"
"281","ENSG00000011201"
"282","ENSG00000011243"
"283","ENSG00000011258"
"284","ENSG00000011260"
"285","ENSG00000011275"
"286","ENSG00000011295"
"287","ENSG00000011304"
"288","ENSG00000011332"
"289","ENSG00000011347"
"290","ENSG00000011376"
"291","ENSG00000011405"
"292","ENSG00000011422"
"293","ENSG00000011426"
"294","ENSG00000011451"
"295","ENSG00000011454"
"296","ENSG00000011465"
"297","ENSG00000011478"
"298","ENSG00000011485"
"299","ENSG00000011523"
"300","ENSG00000011566"
"301","ENSG00000011590"
"302","ENSG00000011600"
"303","ENSG00000011638"
"304","ENSG00000011677"
"305","ENSG00000012048"
