	C-m	C-n	IG-n	IG-m	IG-m 44
DDX11L1	0	0	0	1	0
WASH7P	185	310	215	561	98
MIR6859-1	7	13	10	13	7
MIR1302-2	1	0	4	4	0
FAM138A	0	0	0	0	0
OR4G4P	0	0	0	0	0
OR4G11P	0	0	0	0	0
OR4F5	0	0	0	0	0
RP11-34P13.7	1	0	0	0	0
RP11-34P13.8	0	0	0	0	0
CICP27	0	12	0	1	0
RP11-34P13.15	23	105	4	8	1
RP11-34P13.16	22	77	1	8	7
RP11-34P13.14	0	0	0	0	0
RP11-34P13.13	5	11	8	0	0
RNU6-1100P	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0
FO538757.2	1	0	3	7	8
FO538757.1	61	152	92	193	74
MIR6859-2	0	0	0	0	0
AP006222.2	5	3	5	2	7
RPL23AP21	0	0	0	0	0
RPL23AP24	0	0	0	0	0
RP5-857K21.15	0	0	0	0	0
RP4-669L17.2	0	0	0	0	0
RP4-669L17.10	1	3	0	1	1
WBP1LP7	0	0	0	0	0
OR4F29	0	0	0	0	0
SEPT14P13	0	0	0	0	0
CICP7	0	1	0	0	0
RP4-669L17.8	0	0	0	0	0
U6	5	4	2	4	8
RP5-857K21.4	1	2	1	0	0
RP5-857K21.2	0	0	0	0	0
MTND1P23	69	2	3	6	2
MTND2P28	3493	2947	475	262	759
MTCO1P12	2768	2181	1096	941	1571
MIR6723	0	0	0	0	0
MTCO2P12	489	20	5	13	4
MTATP8P1	4	1	0	0	0
MTATP6P1	14878	4803	2897	3910	3526
MTCO3P12	220	24	8	19	1
WBP1LP6	0	0	0	0	0
OR4F16	0	0	0	0	0
RP11-206L10.17	0	0	0	0	0
CICP3	1	1	0	0	0
RP11-206L10.2	51	152	55	23	78
RNU6-1199P	0	0	0	0	0
RP11-206L10.4	0	0	0	0	0
RP11-206L10.9	17	23	4	8	23
RP11-206L10.8	3	4	8	4	7
FAM87B	4	3	1	2	3
LINC01128	1323	286	197	1023	667
LINC00115	34	15	11	121	139
FAM41C	3	0	1	2	7
TUBB8P11	0	1	0	0	2
FAM166AP3	0	0	0	0	5
RP11-54O7.16	2	1	0	5	7
RP11-54O7.1	10	11	11	34	32
RP11-54O7.2	0	0	0	0	0
RP11-54O7.3	35	104	52	354	152
SAMD11	24	297	160	390	324
NOC2L	1449	4327	2948	2572	1140
KLHL17	121	909	487	190	96
PLEKHN1	22	664	165	34	53
PERM1	6	157	40	35	39
RP11-54O7.17	3	37	2	2	200
HES4	78	827	101	350	268
ISG15	273	599	241	1489	5229
RP11-54O7.10	0	1	0	0	1
RP11-54O7.11	3	2	2	0	32
AGRN	4078	53029	13845	3091	5032
RP11-54O7.14	0	0	0	0	0
RP11-465B22.3	60	447	72	27	47
RP11-54O7.18	6	76	6	0	8
RNF223	5	14	1	13	16
C1orf159	108	686	283	143	74
LINC01342	3	5	0	0	6
MIR200B	4	1	1	0	1
MIR200A	0	5	0	0	0
MIR429	3	20	2	0	0
RP11-465B22.8	32	124	5	3	7
TTLL10-AS1	0	0	0	0	8
TTLL10	0	1	0	0	12
TNFRSF18	21	22	5	98	17
TNFRSF4	1	14	8	12	9
SDF4	2686	6584	4748	4246	1236
B3GALT6	328	1275	953	713	157
FAM132A	18	29	13	105	31
RP5-902P8.12	2	5	11	14	8
UBE2J2	1080	2358	1537	1599	436
RP5-902P8.10	11	24	18	15	12
SCNN1D	66	239	83	228	96
ACAP3	590	2784	1618	897	312
MIR6726	0	0	0	0	0
PUSL1	90	756	429	279	42
CPSF3L	1101	2604	1832	2236	550
RP5-890O3.9	29	64	79	14	34
CPTP	773	1532	754	476	95
TAS1R3	10	10	27	20	19
DVL1	940	4203	3116	1171	383
MXRA8	566	2893	10742	2860	1404
AURKAIP1	1244	3430	2090	3372	368
NDUFB4P8	0	1	1	4	7
CCNL2	2804	3412	2805	4124	1766
RP4-758J18.2	336	439	415	794	295
MRPL20	978	1689	1428	3470	616
RN7SL657P	0	0	0	0	0
RP4-758J18.13	235	21	94	658	404
ANKRD65	31	18	51	1307	217
RP4-758J18.7	1	0	3	11	9
TMEM88B	0	0	49	26	29
RP4-758J18.10	0	4	31	142	79
VWA1	147	1028	3290	8492	2201
ATAD3C	6	49	36	108	65
ATAD3B	409	2063	1005	1284	307
ATAD3A	384	2640	1553	1073	185
TMEM240	2	58	45	28	13
SSU72	853	3003	2368	1326	480
RP5-832C2.5	50	12	13	78	144
AL645728.1	0	0	0	0	1
RP11-345P4.11	0	0	0	0	3
FNDC10	40	233	181	110	36
RP11-345P4.9	113	74	48	188	126
MIB2	442	858	658	1562	297
MMP23B	0	5	5	3	6
CDK11B	363	1128	829	673	270
RP11-345P4.10	0	2	1	1	0
SLC35E2B	946	1966	1006	210	234
RP11-345P4.6	8	31	18	1	13
MMP23A	3	4	4	1	3
CDK11A	13	49	34	29	10
RP1-283E3.8	55	68	37	11	42
RP1-283E3.4	2	8	1	0	3
SLC35E2	52	90	50	31	37
