primary_name,match_type,alternative_match
A3GALT2,direct,
A4GALT,direct,
A4GNT,direct,
ABO,direct,
AGL,direct,
ALG1,direct,
ALG10,direct,
ALG11,direct,
ALG12,direct,
ALG13,direct,
ALG14,direct,
ALG2,direct,
ALG3,direct,
ALG5,direct,
ALG6,direct,
ALG8,direct,
ALG9,direct,
B3GALNT1,direct,
B3GALNT2,direct,
B3GALT1,direct,
B3GALT2,direct,
B3GALT4,direct,
B3GALT5,direct,
B3GALT6,direct,
B3GAT1,direct,
B3GAT2,direct,
B3GAT3,direct,
B3GLCT,direct,
B3GNT2,direct,
B3GNT3,direct,
B3GNT4,direct,
B3GNT5,direct,
B3GNT7,direct,
B3GNT8,direct,
B3GNT9,direct,
B3GNTL1,direct,
B4GALNT1,direct,
B4GALNT2,direct,
B4GALNT3,direct,
B4GALNT4,direct,
B4GALT1,direct,
B4GALT2,direct,
B4GALT3,direct,
B4GALT4,direct,
B4GALT5,direct,
B4GALT6,direct,
B4GALT7,direct,
B4GAT1,direct,
C1GALT1,direct,
CERCAM,direct,
CHPF,direct,
CHPF2,direct,
CHSY1,direct,
CHSY3,direct,
COLGALT1,direct,
COLGALT2,direct,
CSGALNACT1,direct,
CSGALNACT2,direct,
DAD1,direct,
DPAGT1,direct,
DPM1,direct,
EOGT,direct,
EXT1,direct,
EXT2,direct,
EXTL1,direct,
EXTL2,direct,
EXTL3,direct,
FUT1,direct,
FUT10,direct,
FUT11,direct,
FUT2,direct,
FUT3,direct,
FUT4,direct,
FUT5,direct,
FUT6,direct,
FUT7,direct,
FUT8,direct,
FUT9,direct,
GALNT1,direct,
GALNT10,direct,
GALNT11,direct,
GALNT12,direct,
GALNT13,direct,
GALNT14,direct,
GALNT15,direct,
GALNT16,direct,
GALNT17,direct,
GALNT18,direct,
GALNT2,direct,
GALNT3,direct,
GALNT4,direct,
GALNT5,direct,
GALNT6,direct,
GALNT7,direct,
GALNT8,direct,
GALNT9,direct,
GALNTL5,direct,
GALNTL6,direct,
GBGT1,direct,
GCNT1,direct,
GCNT2,direct,
GCNT3,direct,
GCNT4,direct,
GCNT7,direct,
GLT1D1,direct,
GLT6D1,direct,
GLT8D1,direct,
GLT8D2,direct,
GTDC1,direct,
GXYLT1,direct,
GXYLT2,direct,
GYG1,direct,
GYG2,direct,
GYS1,direct,
GYS2,direct,
HAS1,direct,
HAS2,direct,
HAS3,direct,
LARGE1,direct,
LARGE2,direct,
LFNG,direct,
MFNG,direct,
MGAT1,direct,
MGAT2,direct,
MGAT3,direct,
MGAT4A,direct,
MGAT4B,direct,
MGAT4C,direct,
MGAT4D,direct,
MGAT5,direct,
MGAT5B,direct,
NDST1,direct,
OGT,direct,
PIGA,direct,
PIGB,direct,
PIGC,direct,
PIGH,direct,
PIGM,direct,
PIGP,direct,
PIGQ,direct,
PIGV,direct,
PIGZ,direct,
PLOD3,direct,
POFUT1,direct,
POFUT2,direct,
POGLUT1,direct,
POGLUT2,direct,
POGLUT3,direct,
POMGNT1,direct,
POMGNT2,direct,
POMT1,direct,
POMT2,direct,
PYGB,direct,
PYGL,direct,
PYGM,direct,
RFNG,direct,
RPN1,direct,
RXYLT1,direct,
ST3GAL1,direct,
ST3GAL2,direct,
ST3GAL3,direct,
ST3GAL4,direct,
ST3GAL5,direct,
ST3GAL6,direct,
ST6GAL1,direct,
ST6GAL2,direct,
ST6GALNAC1,direct,
ST6GALNAC2,direct,
ST6GALNAC3,direct,
ST6GALNAC4,direct,
ST6GALNAC5,direct,
ST6GALNAC6,direct,
ST8SIA1,direct,
ST8SIA2,direct,
ST8SIA3,direct,
ST8SIA4,direct,
ST8SIA5,direct,
ST8SIA6,direct,
STT3A,direct,
STT3B,direct,
UGCG,direct,
UGGT1,direct,
UGGT2,direct,
UGT1A1,direct,
UGT1A10,direct,
UGT1A3,direct,
UGT1A4,direct,
UGT1A5,direct,
UGT1A6,direct,
UGT1A7,direct,
UGT1A8,direct,
UGT1A9,direct,
UGT2A3,direct,
UGT2B10,direct,
UGT2B15,direct,
UGT2B17,direct,
UGT2B28,direct,
UGT2B4,direct,
UGT2B7,direct,
UGT3A1,direct,
UGT3A2,direct,
UGT8,direct,
XXYLT1,direct,
XYLT1,direct,
XYLT2,direct,
B3GNT6,alternative,B4GAT1
B3GNT8,alternative,B3GNTL1
CHSY3,alternative,CHPF2
GALNT15,alternative,GALNTL5
GALNT17,alternative,GALNTL6
UGT2B11,alternative,UGT2B4
