pathway	p-value
MSigDB:REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	4.99034681448991E-91
MSigDB:REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	3.245360328126747E-72
MSigDB:REACTOME_DISEASES_OF_METABOLISM	7.231881679449867E-70
MSigDB:REACTOME_DISEASES_OF_GLYCOSYLATION	6.655137552999584E-67
MSigDB:MILI_PSEUDOPODIA_HAPTOTAXIS_DN	7.435917209535487E-67
MSigDB:REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM	1.3240979058389047E-58
MSigDB:REACTOME_HS_GAG_DEGRADATION	4.446723117297977E-53
MSigDB:REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM	2.1375649309354913E-49
MSigDB:REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	2.111826323202472E-46
MSigDB:REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	8.500975597251988E-44
MSigDB:MILI_PSEUDOPODIA_CHEMOTAXIS_DN	2.269331389588278E-43
MSigDB:VERHAAK_GLIOBLASTOMA_MESENCHYMAL	6.415313601504346E-43
MSigDB:REACTOME_KERATAN_SULFATE_DEGRADATION	7.272995536634856E-43
MSigDB:REACTOME_CS_DS_DEGRADATION	3.92268400570059E-42
MSigDB:REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	3.0872619651131802E-40
MSigDB:HALLMARK_GLYCOLYSIS	3.640762093058541E-39
MSigDB:REACTOME_HYALURONAN_METABOLISM	5.3094841682032176E-39
MSigDB:JOHNSTONE_PARVB_TARGETS_3_UP	1.3128175353448958E-38
MSigDB:REACTOME_ATTACHMENT_AND_ENTRY	1.5034535002679788E-38
MSigDB:CHEN_METABOLIC_SYNDROM_NETWORK	2.2772855190955308E-38
MSigDB:REACTOME_DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE	5.231618995174928E-38
MSigDB:REACTOME_METABOLISM_OF_CARBOHYDRATES	8.533504707156397E-38
MSigDB:REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	2.369665464986439E-37
MSigDB:RODWELL_AGING_KIDNEY_NO_BLOOD_UP	1.4494702277621261E-36
MSigDB:REACTOME_NEUTROPHIL_DEGRANULATION	2.605033587396729E-36
MSigDB:REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	9.847626564322638E-36
MSigDB:WANG_ESOPHAGUS_CANCER_VS_NORMAL_UP	1.059811311905561E-35
MSigDB:APPEL_IMATINIB_RESPONSE	1.1508456086836707E-35
MSigDB:BRUINS_UVC_RESPONSE_VIA_TP53_GROUP_B	1.2786284397941688E-35
MSigDB:REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	3.480845890656405E-35
MSigDB:WANG_RESPONSE_TO_GSK3_INHIBITOR_SB216763_UP	1.1354300787190102E-34
MSigDB:BROWN_MYELOID_CELL_DEVELOPMENT_UP	1.76810934989761E-34
MSigDB:REACTOME_DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2	7.222522407123073E-34
MSigDB:ROSS_AML_WITH_PML_RARA_FUSION	8.27431093079163E-34
MSigDB:SWEET_LUNG_CANCER_KRAS_UP	1.2351588960227096E-33
MSigDB:REACTOME_SIALIC_ACID_METABOLISM	5.693661895196466E-33
MSigDB:WP_DEGRADATION_PATHWAY_OF_SPHINGOLIPIDS_INCLUDING_DISEASES	6.365127888843805E-33
MSigDB:LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_DN	1.1283915440077292E-32
MSigDB:MIYAGAWA_TARGETS_OF_EWSR1_ETS_FUSIONS_DN	2.695115080170399E-32
MSigDB:WP_GLYCOSPHINGOLIPID_METABOLISM	4.978198916724908E-32
MSigDB:LINDVALL_IMMORTALIZED_BY_TERT_DN	8.391774083582252E-32
MSigDB:RUTELLA_RESPONSE_TO_HGF_VS_CSF2RB_AND_IL4_UP	1.3754375606065926E-31
MSigDB:GERHOLD_ADIPOGENESIS_DN	1.6141774525595954E-31
MSigDB:WOO_LIVER_CANCER_RECURRENCE_UP	1.7876840024990924E-31
MSigDB:PETROVA_ENDOTHELIUM_LYMPHATIC_VS_BLOOD_DN	2.0247644730894418E-31
MSigDB:CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	3.1011844247898516E-31
MSigDB:REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	4.722771963223365E-31
MSigDB:DELYS_THYROID_CANCER_UP	6.086436938022383E-31
