"","logFC","logCPM","PValue","FDR","regulation"
"CHST9",-12.052928702966,4.15274896485468,2.87391711887381e-16,6.73801843174626e-13,"Down"
"HABP2",-11.4077851027562,3.51439256820796,2.20095301515051e-14,2.28486088066161e-11,"Down"
"HS3ST2",-9.60209920280135,4.91278265599043,1.74796536788797e-17,6.55708421904589e-14,"Down"
"DPY19L2P1",-9.2023054749394,1.37332003625652,2.28674802098914e-08,3.13073052051187e-06,"Down"
"TNF",-8.97716017621161,1.16136112069331,8.63636266073176e-08,9.68046793937681e-06,"Down"
"FUT9",-8.20475248749425,0.450833385582832,5.18874751827668e-06,0.000306686590447385,"Down"
"MGAT5B",-8.04486298027879,0.307726569351409,1.16786167600443e-05,0.000610728704898639,"Down"
"UGT2B4",-7.91212502788634,0.190164827863604,2.24823545641969e-05,0.00106936568805816,"Down"
"CHGA",7.75685569923414,0.0207259069005935,4.53238757512601e-05,0.00191322373503229,"Up"
"LGALS12",-7.65951979507525,-0.0301391963902148,7.4460653019927e-05,0.00285994981896128,"Down"
"NCAN",7.64193421125775,-0.0798106474959423,7.4460653019927e-05,0.00285994981896128,"Up"
"HAS3",-7.59611359680096,3.84019407571254,1.51432712565446e-13,1.16725579497878e-10,"Down"
"PYGM",7.52802105422481,5.19508619388668,1.75245763777817e-15,3.0708046868853e-12,"Up"
"BGN",7.49847910104169,7.45987894717992,2.28887714887425e-17,7.57604872294147e-14,"Up"
"KLRC1",-7.41980849089885,-0.234598025855812,0.000217959895379251,0.00679467332581444,"Down"
"ST8SIA1",-6.87119396488246,-0.682657561853577,0.00140897293288839,0.0291476095443739,"Down"
"FBP1",-6.77253828298941,-0.759892043108737,0.00199604498825856,0.0377902225236416,"Down"
"CHST8",-6.77253828298941,-0.759892043108737,0.00199604498825856,0.0377902225236416,"Down"
"B4GALNT2",-6.66663778752736,-0.841545194464613,0.0028638906353275,0.0490110286372393,"Down"
"GALNT9",-6.5523434953204,-0.928154637664297,0.0041656591059309,0.0640955625462472,"Down"
"PPP1R3A",6.4678894303925,2.63846991342131,4.27607803914738e-10,1.01096905539825e-07,"Up"
"MGAM2",-6.42820936642217,-1.02036244933472,0.00614930629923133,0.0850578456616145,"Down"
"ADAMTS8",6.40689215998018,3.12645549877571,7.46222200991517e-11,2.24541053623485e-08,"Up"
"NLGN4Y",-6.36895171896547,1.75036323446253,2.29911739836869e-08,3.14002516720407e-06,"Down"
"GBA3",-6.29238016344912,-1.11894407627833,0.00922395944884699,0.111786124106649,"Down"
