"pathway_id","pathway_name","gene_id","pathway_type","NES","pvalue"
"hsa00190","Oxidative phosphorylation","9550","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","5464","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","10632","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","27068","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4718","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4712","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","10476","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4707","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4705","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","539","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4731","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4700","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","515","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","1350","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","509","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","1345","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4710","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","1353","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4717","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4711","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","7381","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4514","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4537","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","7385","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","6392","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4698","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4541","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4512","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4535","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4509","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4513","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","9377","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4536","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4508","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","54205","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4519","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4538","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4540","KEGG",-4.48181697569448,1e-10
"hsa00190","Oxidative phosphorylation","4539","KEGG",-4.48181697569448,1e-10
"hsa03040","Spliceosome","51690","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","10262","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","56949","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","144983","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","6625","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","11338","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","9129","KEGG",-3.36787367318191,1.0913515078685e-10
"hsa03040","Spliceosome","1665","KEGG",-3.36787367318191,1.0913515078685e-10
