"ensembl_id","entrez_id","log2FC","padj"
"ENSG00000105664","1311",10.1423034815299,1.14353089648582e-18
"ENSG00000124762","1026",4.08908675873129,3.71558679525046e-16
"ENSG00000041982","3371",4.09127474818414,7.89438152139562e-16
"ENSG00000082397","23136",2.06421429820155,4.9131561499204e-15
"ENSG00000137801","7057",3.48065341368985,1.49793696186925e-13
"ENSG00000159216","861",3.06327837380717,1.49793696186925e-13
"ENSG00000145423","6423",7.10690775828026,5.30063253847639e-13
"ENSG00000188257","5320",7.43405266840876,6.7915007986868e-13
"ENSG00000116690","10216",5.29282940667888,2.46853627386704e-12
"ENSG00000149573","10205",2.29862569897906,5.7840933928068e-12
"ENSG00000000005","64102",6.56039901492324,2.26160032042599e-11
"ENSG00000148848","8038",5.59804997670483,3.3423246609949e-11
"ENSG00000262655","10418",5.29458467303916,3.3423246609949e-11
"ENSG00000105609","10990",3.25052146476076,4.28101715019455e-11
"ENSG00000169991","126917",1.26013902308644,1.51085880334209e-10
"ENSG00000279821",NA,2.38522597217618,1.67593625161057e-10
"ENSG00000171812","1296",4.12176194861828,1.68815754649619e-10
"ENSG00000118523","1490",3.00327231489867,2.65946904542114e-10
"ENSG00000124491","2162",3.49819734137884,3.76167374004385e-10
"ENSG00000133083","9201",2.88414554726411,4.14604852580112e-10
"ENSG00000087116","9509",4.07539451945587,4.24639949883792e-10
"ENSG00000129474","84962",1.48729918051666,4.68213318247221e-10
"ENSG00000166928","84689",2.87805323431673,4.68213318247221e-10
"ENSG00000149090","25891",3.03754627284017,5.28026372885913e-10
"ENSG00000013588","9052",4.02731473944526,7.84360384853079e-10
"ENSG00000072110","87",1.99219676702487,8.86564872823038e-10
"ENSG00000138207","5950",5.95471440269959,1.01314128184491e-09
"ENSG00000198336","4635",4.77044636409404,1.34128124956715e-09
"ENSG00000181374","6357",4.72301796267902,1.57672002544356e-09
"ENSG00000139629","11226",2.65520775801348,1.60995821044431e-09
"ENSG00000019991","3082",2.46131393295938,1.6371629374766e-09
"ENSG00000185567","113146",3.31767775927913,1.73093991225502e-09
"ENSG00000110660","54733",2.1229131010805,1.93104152910661e-09
"ENSG00000159189","714",3.51761209496666,2.29684386599859e-09
"ENSG00000166278","717",4.3247146816785,3.0681991369021e-09
"ENSG00000164694","84624",3.71797193499208,3.18252635581877e-09
"ENSG00000156427","8817",2.7825212471241,3.32541957680551e-09
"ENSG00000164949","2669",2.91807906117993,3.34574308724346e-09
"ENSG00000173372","712",3.46936886225586,3.34574308724346e-09
"ENSG00000168398","624",3.48372294926512,3.60292759464676e-09
"ENSG00000115380","2202",3.11913486876812,3.95525550782889e-09
"ENSG00000154096","7070",4.16469148737168,3.95525550782889e-09
"ENSG00000167157","51450",4.37656038608272,4.46589149724245e-09
"ENSG00000111799","1303",1.99043504325943,4.4763206532618e-09
"ENSG00000102359","27286",2.66467510331992,4.78281571992996e-09
"ENSG00000138119","26509",2.25965458230803,4.78281571992996e-09
"ENSG00000134013","4017",2.2163061701743,5.22384368520786e-09
"ENSG00000090659","30835",2.94285744143873,5.26136772660196e-09
"ENSG00000173369","713",3.58586401939769,5.26136772660196e-09
"ENSG00000153012","55203",3.07952707248935,5.75947269676437e-09
"ENSG00000165457","2350",3.40773523760028,5.75947269676437e-09
"ENSG00000171860","719",2.95429723247474,6.13027240731774e-09
"ENSG00000174697","3952",5.93874594452853,6.18067415236289e-09
"ENSG00000108846","8714",3.58336238208525,6.82780988634257e-09
"ENSG00000010327","23166",2.319351687161,6.88131359182711e-09
"ENSG00000153551","112616",2.84267238384228,7.57840871570243e-09
"ENSG00000136068","2317",1.09405938438136,7.84068339667246e-09
"ENSG00000106565","28959",3.03790990985396,8.19516775027863e-09
"ENSG00000147889","1029",6.16010584668266,8.28777058877188e-09
"ENSG00000106624","165",3.52845441925757,8.5788207392131e-09
"ENSG00000187955","7373",3.45156766801673,9.11549762019446e-09
"ENSG00000177575","9332",2.94242039019082,9.27535927192999e-09
"ENSG00000175309","85007",0.714601240958461,9.49677916308111e-09
"ENSG00000149380","283208",5.30867613748229,1.09367949077616e-08
"ENSG00000102265","7076",3.31470309773854,1.11206132089108e-08
"ENSG00000102575","54",3.6474517738543,1.15297831791503e-08
"ENSG00000133110","10631",3.75811772351828,1.18556808896493e-08
"ENSG00000140287","3067",3.48296662146362,1.34934496017324e-08
"ENSG00000174600","1240",1.98562352095309,1.66716695132826e-08
"ENSG00000074410","771",6.15539125260785,1.69925597789689e-08
"ENSG00000167460","7171",1.61827535135249,1.97635048991752e-08
"ENSG00000211896","3500",6.99088156051777,2.05508365231469e-08
"ENSG00000231528","286333",2.19031437864007,2.2776163020701e-08
"ENSG00000106366","5054",2.81218577644313,2.33656698106805e-08
"ENSG00000108821","1277",5.14592509417014,2.33656698106805e-08
"ENSG00000166927","58475",2.54609330658103,2.33656698106805e-08
"ENSG00000187288","63924",6.14982007707386,2.33656698106805e-08
"ENSG00000077238","3566",2.1841136273447,2.41418598497233e-08
"ENSG00000181092","9370",5.64297604039585,2.51381537456871e-08
"ENSG00000019169","8685",5.32668260709871,2.5211155210864e-08
"ENSG00000056998","8908",5.89149547825243,2.5211155210864e-08
"ENSG00000187474","2359",2.89525695387466,2.55753335938868e-08
"ENSG00000228526","106614088",2.54854701088564,2.66730269285264e-08
"ENSG00000118785","6696",5.64755142636516,2.87891214374187e-08
"ENSG00000170458","929",3.13905119041395,2.87891214374187e-08
"ENSG00000176014","84617",2.29580055459983,2.87891214374187e-08
"ENSG00000272872",NA,4.21619399399819,2.87891214374187e-08
"ENSG00000277954",NA,-1.48496421720061,3.2311398369366e-08
"ENSG00000133216","2048",3.99479437307588,3.23343334599867e-08
"ENSG00000133317","85329",5.67656791730851,3.23343334599867e-08
"ENSG00000280073",NA,2.43979330187694,3.33540568335053e-08
"ENSG00000134531","2012",1.96366003679179,3.49600370204152e-08
"ENSG00000175592","8061",3.59882044384529,3.55494588306117e-08
"ENSG00000187908","1755",7.78687038442204,4.05206794775563e-08
"ENSG00000091986","151887",3.30678268549803,4.06172907554873e-08
"ENSG00000168743","255743",2.24672549236528,4.68597630676828e-08
"ENSG00000275385","6362",6.10071602741577,4.75555313305697e-08
"ENSG00000106976","1759",3.11617108953133,4.78401866730748e-08
"ENSG00000177106","64787",3.63743838114744,4.78401866730748e-08
"ENSG00000100979","5360",3.33774712431612,5.24785702727363e-08
"ENSG00000168405","8418",1.89803608410768,5.24785702727363e-08
"ENSG00000172137","794",5.63221519503937,5.24785702727363e-08
"ENSG00000172724","6363",8.17025599368139,5.37368557798455e-08
"ENSG00000134955","219855",2.54147124913174,5.62843508684019e-08
"ENSG00000124253","5105",4.93439000750059,5.6836779693804e-08
"ENSG00000049540","2006",3.2266566435644,6.16247523347684e-08
"ENSG00000064205","8839",3.65562898727325,6.19631226027511e-08
"ENSG00000160013","5739",2.5886170302945,6.19833938344969e-08
"ENSG00000222009","149478",1.64446034607516,6.19833938344969e-08
"ENSG00000223764","100130417",4.5475773427518,6.54682112982013e-08
"ENSG00000008394","4257",4.13426529379972,6.57080949691079e-08
"ENSG00000130300","83483",2.68538655831725,6.57080949691079e-08
"ENSG00000172236","7177",3.76995728211304,6.57080949691079e-08
"ENSG00000143320","1382",3.89836871840697,6.8510332135293e-08
"ENSG00000064300","4804",3.36044365360619,6.85629605360408e-08
"ENSG00000002933","55365",2.95927920470747,6.99344436753496e-08
"ENSG00000196576","23654",2.11892581960033,7.30033575825314e-08
"ENSG00000010610","920",2.97594582225838,7.53003746742812e-08
"ENSG00000042493","822",3.20645566670358,7.67359863151796e-08
"ENSG00000075275","9620",3.33570332439006,7.67359863151796e-08
"ENSG00000102802","84935",2.63457586412652,7.67359863151796e-08
"ENSG00000120889","8795",1.15344411150737,7.67359863151796e-08
"ENSG00000228630","100124700",2.17466775482383,7.67359863151796e-08
"ENSG00000038945","4481",2.46917192863843,7.8145943237302e-08
"ENSG00000186818","11006",2.99504986629807,7.93043536141122e-08
"ENSG00000120708","7045",2.16063399643047,8.07885114087823e-08
"ENSG00000151790","6999",4.59720056232273,8.18945814701425e-08
"ENSG00000139330","11081",6.52420964876494,8.2212323395183e-08
"ENSG00000197253","64499",3.70066536336282,8.35642102531734e-08
"ENSG00000059804","6515",1.68382205864746,8.49812063862602e-08
"ENSG00000138615","8483",2.02179434760418,8.69085867379579e-08
"ENSG00000075035","9671",3.7086803990986,8.9397123719481e-08
"ENSG00000149591","6876",2.60736824077396,8.97715869578517e-08
"ENSG00000155659","11326",2.80192686472312,8.97715869578517e-08
"ENSG00000166886","4665",1.35803447161566,8.97715869578517e-08
"ENSG00000100448","1511",4.07615200240823,9.27808300376206e-08
"ENSG00000277117","102723996",1.23520933948105,9.27808300376206e-08
"ENSG00000124343","7499",2.63574614674731,9.71136422685891e-08
"ENSG00000122691","7291",4.4282901206864,1.01388061378495e-07
"ENSG00000189409","8510",4.12724111606656,1.03770159649753e-07
"ENSG00000118971","894",1.89974440177907,1.06476360402722e-07
"ENSG00000166819","5346",5.04466638387825,1.06476360402722e-07
"ENSG00000159403","715",2.99025440379502,1.08002713582078e-07
"ENSG00000225684","100128385",2.10569375687097,1.08002713582078e-07
"ENSG00000108691","6347",2.22390147885689,1.08991582187092e-07
"ENSG00000186340","7058",3.36257021270782,1.11416686649749e-07
"ENSG00000125740","2354",3.87237649282518,1.14825424556732e-07
"ENSG00000110900","441631",3.28888374438782,1.15034035678854e-07
"ENSG00000135046","301",2.26173706792721,1.15034035678854e-07
"ENSG00000140511","145864",2.19478874530293,1.15034035678854e-07
"ENSG00000142949","5792",3.20761095568475,1.15034035678854e-07
"ENSG00000147443","9046",3.01992755086802,1.15034035678854e-07
"ENSG00000184349","1946",3.46923529495289,1.15034035678854e-07
"ENSG00000246090","100507053",2.08139994601487,1.15034035678854e-07
"ENSG00000062524","4058",4.49270894269023,1.1943801031304e-07
"ENSG00000150471","23284",2.26779081420299,1.21192278278339e-07
"ENSG00000184557","9021",2.74057791237413,1.23474438931059e-07
"ENSG00000125730","718",2.65345816859443,1.26022298555263e-07
"ENSG00000172986","727936",2.9141896371326,1.26108946822347e-07
"ENSG00000088827","6614",2.53347384019911,1.29616255939386e-07
"ENSG00000196154","6275",3.06537518093159,1.29616255939386e-07
"ENSG00000140368","9051",2.93255222743361,1.30279891853233e-07
"ENSG00000160223","23308",1.30605765579343,1.35572325683217e-07
"ENSG00000117122","4237",3.92728006666483,1.36398327458924e-07
"ENSG00000123342","4327",2.87786758660027,1.36398327458924e-07
"ENSG00000139194","83758",3.28831418564751,1.36398327458924e-07
"ENSG00000111341","4256",2.80788697145753,1.37723518663032e-07
"ENSG00000167711","5345",2.57598077003697,1.38000452890478e-07
"ENSG00000122877","1959",3.48091678634721,1.47368711642995e-07
"ENSG00000107130","23413",2.80910818500523,1.51732267831492e-07
"ENSG00000119986","60370",1.81924441155595,1.51732267831492e-07
"ENSG00000177675","283316",2.53177895361283,1.51732267831492e-07
"ENSG00000197122","6714",2.27393788220995,1.52931351345585e-07
"ENSG00000273749","23191",0.665089941200186,1.56555877024245e-07
"ENSG00000005884","3675",1.57889867762669,1.58306943452872e-07
"ENSG00000026025","7431",2.77044897624463,1.5876369489705e-07
"ENSG00000112559","4188",4.30734241805567,1.64940541002902e-07
"ENSG00000135917","80704",5.5803182393739,1.64940541002902e-07
"ENSG00000198223","1438",2.80604144460051,1.65779011688376e-07
"ENSG00000233608","117581",4.43435892404698,1.69486479992382e-07
"ENSG00000120738","1958",2.85123193307273,1.70716740018777e-07
"ENSG00000182580","2049",3.08541595756352,1.7513187413162e-07
"ENSG00000122121","7512",3.7361173590563,1.77358651534802e-07
"ENSG00000164107","9464",3.64279279690292,1.77358651534802e-07
"ENSG00000108950","54757",2.27418910812835,1.80802318018343e-07
"ENSG00000120457","3762",2.83572560489707,1.81780731234476e-07
"ENSG00000167604","84807",2.43412486706456,1.83708257179401e-07
"ENSG00000140931","123920",2.5703538742206,1.87125610990027e-07
"ENSG00000148344","9536",3.8916429290787,1.87125610990027e-07
"ENSG00000165617","51339",1.91932484257238,1.97872997525416e-07
"ENSG00000130035","26290",3.37560575994166,2.04332935809867e-07
"ENSG00000128604","3663",2.79734758940184,2.07421279033967e-07
"ENSG00000151778","387923",1.86576842908059,2.07421279033967e-07
"ENSG00000211892","3503",6.25688442485654,2.08087551504726e-07
"ENSG00000099194","6319",3.97567583221964,2.08655781855048e-07
"ENSG00000145623","9180",1.64267876583637,2.10579119982418e-07
"ENSG00000159176","1465",1.92226868136051,2.19462930270768e-07
"ENSG00000196666","399888",3.4229059374273,2.19955747438771e-07
"ENSG00000130173","55908",4.05649671226017,2.2543505363279e-07
"ENSG00000047457","1356",3.40679803421368,2.27467214601117e-07
"ENSG00000123610","7130",2.75766381037469,2.28152550710171e-07
"ENSG00000197635","1803",3.24805608933227,2.28191076532233e-07
"ENSG00000267121","339192",2.11438545256683,2.28246144948585e-07
"ENSG00000060718","1301",4.46010559944582,2.28978401753246e-07
"ENSG00000115919","8942",3.44188189469227,2.30952346221203e-07
"ENSG00000100345","4627",1.33819336573246,2.53777722719991e-07
"ENSG00000211592","3514",6.19733431157746,2.6548778939276e-07
"ENSG00000213719","1192",2.33161680970758,2.65777776930706e-07
"ENSG00000174807","57124",3.05202746839994,2.69241589146579e-07
"ENSG00000132205","84034",3.42608882443421,2.76950297691057e-07
"ENSG00000168389","84879",4.72880070243915,2.76950297691057e-07
"ENSG00000157227","4323",2.92774060240859,2.7727743190621e-07
"ENSG00000064666","1265",2.51624943607597,2.77440161707681e-07
"ENSG00000142149","30811",3.54940888293205,2.77440161707681e-07
"ENSG00000139289","22822",2.12580089617289,2.81765051692286e-07
"ENSG00000173868","162466",2.17362212226882,2.82279113420162e-07
"ENSG00000110628","5002",2.47543027891728,2.838820320203e-07
"ENSG00000119771","114818",1.17547638344961,2.838820320203e-07
"ENSG00000038427","1462",2.46439991930684,2.89402061066659e-07
"ENSG00000077150","4791",1.43683773813606,2.89402061066659e-07
"ENSG00000110077","64231",2.48565529858887,2.89402061066659e-07
"ENSG00000124795","7913",-0.93798467156518,2.89402061066659e-07
"ENSG00000145335","6622",2.99826170033198,2.89402061066659e-07
"ENSG00000128342","3976",3.09854521204331,2.90025269731304e-07
"ENSG00000134247","5738",2.21138630782395,2.97064320805248e-07
"ENSG00000095970","54209",6.3083867184074,3.01239695860359e-07
"ENSG00000182578","1436",2.46694873635597,3.07526217899361e-07
"ENSG00000100365","4689",2.81489106169518,3.10225230457509e-07
"ENSG00000163017","72",3.66852436784148,3.12411525841848e-07
"ENSG00000139880","64403",3.39314277137454,3.19662163138003e-07
"ENSG00000196639","3269",2.36898877131413,3.19662163138003e-07
"ENSG00000133101","8900",6.05141310731288,3.23457128181871e-07
"ENSG00000176438","161176",1.95575854274785,3.23457128181871e-07
"ENSG00000186654","55615",3.45560160184388,3.23875831963354e-07
"ENSG00000155307","64092",3.0358407918006,3.43723201897908e-07
"ENSG00000168477","7148",2.07564781149665,3.57617047041397e-07
"ENSG00000067057","5214",1.57607725669515,3.59931465987529e-07
"ENSG00000158792","124044",2.35355243720485,3.59931465987529e-07
"ENSG00000253123","100507403",3.69411419752853,3.59931465987529e-07
"ENSG00000181104","2149",1.49258619542066,3.8030082742335e-07
"ENSG00000131016","9590",1.27872836990051,3.81709014746739e-07
"ENSG00000134363","10468",2.86123015953805,3.84995897617553e-07
"ENSG00000197355","91373",1.99633127635729,3.84995897617553e-07
"ENSG00000270601","343068",8.42690782671222,3.91916533962211e-07
"ENSG00000143196","1805",2.33197514523906,3.95575220781046e-07
"ENSG00000243073","400735",8.0946752814669,3.95575220781046e-07
"ENSG00000095303","5742",1.7944585422055,3.98554141516273e-07
"ENSG00000248290",NA,2.57801169463244,4.1147849913088e-07
"ENSG00000130176","1264",2.98254305763091,4.14668068776045e-07
"ENSG00000143147","23432",1.33321722403818,4.15053621149094e-07
"ENSG00000101955","8406",2.85990096404558,4.15244847728207e-07
"ENSG00000163536","5274",1.02412586695253,4.16576491837675e-07
"ENSG00000187479","387763",2.50351406947644,4.20367029532998e-07
"ENSG00000237181","101926963",1.90149379127061,4.30603869243402e-07
"ENSG00000170421","3856",3.48578893952452,4.37748277371085e-07
"ENSG00000188112","647024",4.55962270368656,4.56024275297106e-07
"ENSG00000072832","1400",1.95489399191372,5.02677097686748e-07
"ENSG00000179921","151306",3.89582086481941,5.03391313912688e-07
"ENSG00000154134","64221",2.67262955084934,5.04411572520494e-07
