"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-611105","Respiratory electron transport",45,-0.726441644109577,-4.94643945548872,1e-10,1.052e-08,8.32631578947368e-09,1342,"tags=82%, list=16%, signal=70%","4718/55744/4712/4707/4705/51204/80224/4731/4700/10131/51295/1350/79133/1345/4710/1353/29078/4717/4711/7381/4514/10128/4537/7385/6392/4698/4541/4512/4535/4513/9377/4536/54205/4519/4538/93058/4540"
"R-HSA-163200","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",55,-0.708931433700352,-4.77121676524879,1e-10,1.052e-08,8.32631578947368e-09,1658,"tags=85%, list=19%, signal=69%","55471/10632/51241/4718/55744/4712/10476/4707/4705/51204/539/80224/4731/4700/10131/515/51295/1350/509/79133/1345/4710/1353/29078/4717/4711/27109/7381/4514/10128/4537/7385/6392/4698/4541/4512/4535/4509/4513/9377/4536/4508/54205/4519/4538/93058/4540"
"R-HSA-5368287","Mitochondrial translation",42,-0.681869283837849,-4.39867450041869,1e-10,1.052e-08,8.32631578947368e-09,2445,"tags=95%, list=29%, signal=68%","92399/64983/51023/123263/7818/118487/51649/28977/219402/28998/51642/10240/65003/64979/65080/54948/11222/23107/51021/56945/51373/54534/54148/5018/28973/51263/65008/64960/51650/9801/54516/55037/60488/4528/10884/29088/92259/64981/51318/85476"
"R-HSA-5368286","Mitochondrial translation initiation",39,-0.68120688333136,-4.36690099622016,1e-10,1.052e-08,8.32631578947368e-09,2421,"tags=95%, list=28%, signal=68%","64983/51023/123263/7818/118487/51649/28977/219402/28998/51642/10240/65003/64979/65080/54948/11222/23107/51021/56945/51373/54534/54148/5018/28973/51263/65008/64960/51650/9801/55037/60488/4528/10884/29088/92259/64981/51318"
"R-HSA-5419276","Mitochondrial translation termination",38,-0.677431065401898,-4.30973961439349,1e-10,1.052e-08,8.32631578947368e-09,2445,"tags=97%, list=29%, signal=70%","65005/92399/64983/51023/7818/118487/51649/28977/28998/51642/10240/65003/64979/65080/54948/11222/23107/51021/56945/51373/54534/54148/5018/28973/51263/65008/64960/51650/9801/54516/55037/60488/10884/29088/92259/64981/51318"
"R-HSA-5389840","Mitochondrial translation elongation",37,-0.679916664694577,-4.21707505107077,1e-10,1.052e-08,8.32631578947368e-09,2421,"tags=95%, list=28%, signal=68%","64983/51023/7818/118487/51649/28977/28998/51642/10240/65003/64979/65080/54948/11222/23107/51021/56945/51373/54534/54148/5018/28973/51263/65008/64960/51650/9801/55037/60488/10884/29088/92259/64981/51318/85476"
"R-HSA-6799198","Complex I biogenesis",23,-0.79668647152732,-4.16651545909447,1e-10,1.052e-08,8.32631578947368e-09,1342,"tags=91%, list=16%, signal=77%","4718/55744/4712/4707/4705/80224/4731/4700/51295/79133/4710/29078/4717/4711/4537/4698/4541/4535/4536/4538/4540"
"R-HSA-1592230","Mitochondrial biogenesis",46,-0.514777892182249,-3.54052255044488,1e-10,1.052e-08,8.32631578947368e-09,2579,"tags=83%, list=30%, signal=58%","1432/23054/3054/1386/1387/79718/2551/7978/5469/23410/10632/10499/55735/7019/9611/440574/80205/6256/10476/25813/539/64216/515/509/10651/10989/3313/23408/9572/27109/10498/139322/4509/54927/4508/54205/5465/5563"
"R-HSA-373076","Class A/1 (Rhodopsin-like receptors)",147,0.589538659195733,1.8414850107873,1e-10,1.052e-08,8.32631578947368e-09,2454,"tags=72%, list=29%, signal=52%","6363/338557/2151/6288/6357/10563/27198/4986/5020/623/5368/6360/151306/338442/10886/6869/2863/150/51083/624/1269/5733/6863/140/5196/3351/3640/5995/6348/719/54886/5473/2359/2837/1233/2358/4828/6368/3577/6366/2532/718/64805/3973/2846/57121/728/5739/56670/2833/3579/27334/2357/6367/6351/9170/3357/3627/60675/27202/4283/5737/3269/5731/5724/4987/8843/301/9290/6349/6347/3576/8698/147/1238/2861/58191/6866/51554/56477/729230/1902/53829/9294/27199/6375/3363/29933/1240/1234/5179/9890/2867/10800/1880/5732/4157/8477/2150/6373/3274/1236/10316/165140/1812/8111"
"R-HSA-500792","GPCR ligand binding",188,0.542619787942206,1.71167072200647,1e-10,1.052e-08,8.32631578947368e-09,2471,"tags=64%, list=29%, signal=46%","6363/338557/2151/6288/6357/10563/27198/4986/5020/623/5746/7472/5368/6360/151306/338442/10886/6869/2863/797/150/51083/624/1269/5733/79924/6863/140/7480/5196/80326/3351/3640/5995/5744/6348/719/54886/5473/2359/2918/2837/1233/51384/2358/4828/6368/3577/6366/2532/718/64805/3973/2846/57121/728/5739/116/56670/2833/3579/27334/2357/6367/6351/9170/3357/3627/60675/27202/4283/5737/3269/5731/5724/2696/4987/8843/301/9290/6349/6347/3576/8698/147/1238/2861/58191/6866/51554/56477/729230/1902/53829/9294/27199/6375/3363/29933/1240/1234/5179/9890/2867/10800/7433/1880/5732/4157/8477/2150/6373/3274/1236/10316/165140/2015/1812/8111/50846"
